Start (s),End (s),Scientific name,Common name,Confidence
15.0,18.0,Sturnus unicolor,Spotless Starling,0.5713
18.0,21.0,Sturnus unicolor,Spotless Starling,0.8292
30.0,33.0,Sturnus unicolor,Spotless Starling,0.9365
57.0,60.0,Sturnus unicolor,Spotless Starling,0.9486
