Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.9835
6.0,9.0,Sturnus unicolor,Spotless Starling,0.9177
9.0,12.0,Sturnus unicolor,Spotless Starling,0.9951
12.0,15.0,Sturnus unicolor,Spotless Starling,0.9906
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9398
18.0,21.0,Sturnus unicolor,Spotless Starling,0.6505
21.0,24.0,Sturnus unicolor,Spotless Starling,0.9677
24.0,27.0,Sturnus unicolor,Spotless Starling,0.9126
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9310
33.0,36.0,Sturnus unicolor,Spotless Starling,0.8280
36.0,39.0,Sturnus unicolor,Spotless Starling,0.9800
39.0,42.0,Sturnus unicolor,Spotless Starling,0.9965
42.0,45.0,Sturnus unicolor,Spotless Starling,0.8551
45.0,48.0,Sturnus unicolor,Spotless Starling,0.6024
51.0,54.0,Sturnus unicolor,Spotless Starling,0.9748
57.0,60.0,Sturnus unicolor,Spotless Starling,0.9209
