Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.7578
3.0,6.0,Sturnus unicolor,Spotless Starling,0.9242
6.0,9.0,Sturnus unicolor,Spotless Starling,0.9911
9.0,12.0,Cettia cetti,Cetti's Warbler,0.6917
12.0,15.0,Sturnus unicolor,Spotless Starling,0.9748
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9762
24.0,27.0,Sturnus unicolor,Spotless Starling,0.9827
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9088
33.0,36.0,Sturnus unicolor,Spotless Starling,0.8526
39.0,42.0,Sturnus unicolor,Spotless Starling,0.5637
42.0,45.0,Sturnus unicolor,Spotless Starling,0.8001
45.0,48.0,Sturnus unicolor,Spotless Starling,0.9631
48.0,51.0,Sturnus unicolor,Spotless Starling,0.8238
51.0,54.0,Sturnus unicolor,Spotless Starling,0.6858
57.0,60.0,Sturnus unicolor,Spotless Starling,0.9915
