Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.8250
3.0,6.0,Sturnus unicolor,Spotless Starling,0.8881
6.0,9.0,Sturnus unicolor,Spotless Starling,0.7354
9.0,12.0,Sturnus unicolor,Spotless Starling,0.8968
12.0,15.0,Sturnus unicolor,Spotless Starling,0.9770
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9777
18.0,21.0,Sturnus unicolor,Spotless Starling,0.9130
21.0,24.0,Actitis hypoleucos,Common Sandpiper,0.7360
24.0,27.0,Sturnus unicolor,Spotless Starling,0.8550
27.0,30.0,Sturnus unicolor,Spotless Starling,0.6661
33.0,36.0,Sturnus unicolor,Spotless Starling,0.7148
36.0,39.0,Sturnus unicolor,Spotless Starling,0.8804
39.0,42.0,Sturnus unicolor,Spotless Starling,0.7966
42.0,45.0,Sturnus unicolor,Spotless Starling,0.9321
45.0,48.0,Sturnus unicolor,Spotless Starling,0.7894
57.0,60.0,Sturnus unicolor,Spotless Starling,0.8527
