Start (s),End (s),Scientific name,Common name,Confidence
12.0,15.0,Cisticola juncidis,Zitting Cisticola,0.9124
15.0,18.0,Cisticola juncidis,Zitting Cisticola,0.5115
18.0,21.0,Cisticola juncidis,Zitting Cisticola,0.9184
21.0,24.0,Cisticola juncidis,Zitting Cisticola,0.9677
24.0,27.0,Cisticola juncidis,Zitting Cisticola,0.5083
27.0,30.0,Cisticola juncidis,Zitting Cisticola,0.9385
33.0,36.0,Cisticola juncidis,Zitting Cisticola,0.9080
36.0,39.0,Cisticola juncidis,Zitting Cisticola,0.9547
39.0,42.0,Cisticola juncidis,Zitting Cisticola,0.8952
42.0,45.0,Cisticola juncidis,Zitting Cisticola,0.5616
45.0,48.0,Cisticola juncidis,Zitting Cisticola,0.8950
