Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.9209
3.0,6.0,Sturnus unicolor,Spotless Starling,0.6727
6.0,9.0,Sturnus unicolor,Spotless Starling,0.9884
9.0,12.0,Sturnus unicolor,Spotless Starling,0.9782
12.0,15.0,Sturnus unicolor,Spotless Starling,0.6270
15.0,18.0,Sturnus unicolor,Spotless Starling,0.7220
18.0,21.0,Sturnus unicolor,Spotless Starling,0.9873
21.0,24.0,Sturnus unicolor,Spotless Starling,0.9916
24.0,27.0,Sturnus unicolor,Spotless Starling,0.8174
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9065
30.0,33.0,Sturnus unicolor,Spotless Starling,0.8894
33.0,36.0,Sturnus unicolor,Spotless Starling,0.9578
36.0,39.0,Sturnus unicolor,Spotless Starling,0.6578
39.0,42.0,Sturnus unicolor,Spotless Starling,0.7765
45.0,48.0,Sturnus unicolor,Spotless Starling,0.9467
51.0,54.0,Sturnus unicolor,Spotless Starling,0.6770
54.0,57.0,Sturnus unicolor,Spotless Starling,0.8401
