Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.9804
3.0,6.0,Sturnus unicolor,Spotless Starling,0.9199
6.0,9.0,Sturnus unicolor,Spotless Starling,0.9798
9.0,12.0,Sturnus unicolor,Spotless Starling,0.8912
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9446
18.0,21.0,Sturnus unicolor,Spotless Starling,0.8855
24.0,27.0,Sturnus unicolor,Spotless Starling,0.9775
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9106
33.0,36.0,Sturnus unicolor,Spotless Starling,0.8951
36.0,39.0,Sturnus unicolor,Spotless Starling,0.7399
39.0,42.0,Sturnus unicolor,Spotless Starling,0.7805
42.0,45.0,Sturnus unicolor,Spotless Starling,0.8145
51.0,54.0,Sturnus unicolor,Spotless Starling,0.7664
