Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.5297
6.0,9.0,Sturnus unicolor,Spotless Starling,0.8412
9.0,12.0,Sturnus unicolor,Spotless Starling,0.5257
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9861
21.0,24.0,Sturnus unicolor,Spotless Starling,0.6200
33.0,36.0,Sturnus unicolor,Spotless Starling,0.9920
36.0,39.0,Sturnus unicolor,Spotless Starling,0.5228
39.0,42.0,Milvus milvus,Red Kite,0.8184
42.0,45.0,Actitis hypoleucos,Common Sandpiper,0.8986
48.0,51.0,Sturnus unicolor,Spotless Starling,0.9507
51.0,54.0,Sturnus unicolor,Spotless Starling,0.9642
54.0,57.0,Sturnus unicolor,Spotless Starling,0.9896
57.0,60.0,Sturnus unicolor,Spotless Starling,0.6071
