Start (s),End (s),Scientific name,Common name,Confidence
6.0,9.0,Sturnus unicolor,Spotless Starling,0.8221
9.0,12.0,Sturnus unicolor,Spotless Starling,0.9862
12.0,15.0,Sturnus unicolor,Spotless Starling,0.8292
15.0,18.0,Sturnus unicolor,Spotless Starling,0.8309
24.0,27.0,Sturnus unicolor,Spotless Starling,0.9035
27.0,30.0,Sturnus unicolor,Spotless Starling,0.9184
33.0,36.0,Sturnus unicolor,Spotless Starling,0.8897
42.0,45.0,Sturnus unicolor,Spotless Starling,0.9304
45.0,48.0,Sturnus unicolor,Spotless Starling,0.8205
48.0,51.0,Sturnus unicolor,Spotless Starling,0.5566
51.0,54.0,Sturnus unicolor,Spotless Starling,0.8718
