Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.8548
3.0,6.0,Sturnus unicolor,Spotless Starling,0.9838
6.0,9.0,Sturnus unicolor,Spotless Starling,0.9182
9.0,12.0,Sturnus unicolor,Spotless Starling,0.9646
12.0,15.0,Sturnus unicolor,Spotless Starling,0.7895
15.0,18.0,Sturnus unicolor,Spotless Starling,0.6200
18.0,21.0,Sturnus unicolor,Spotless Starling,0.6667
27.0,30.0,Sturnus unicolor,Spotless Starling,0.7558
30.0,33.0,Sturnus unicolor,Spotless Starling,0.5211
39.0,42.0,Sturnus unicolor,Spotless Starling,0.8469
45.0,48.0,Actitis hypoleucos,Common Sandpiper,0.5075
54.0,57.0,Sturnus unicolor,Spotless Starling,0.9485
57.0,60.0,Actitis hypoleucos,Common Sandpiper,0.8466
