Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Curruca undata,Dartford Warbler,0.7103
9.0,12.0,Curruca undata,Dartford Warbler,0.6385
12.0,15.0,Curruca undata,Dartford Warbler,0.9867
15.0,18.0,Curruca undata,Dartford Warbler,0.5278
18.0,21.0,Curruca undata,Dartford Warbler,0.9731
42.0,45.0,Curruca undata,Dartford Warbler,0.9569
45.0,48.0,Curruca undata,Dartford Warbler,0.9692
51.0,54.0,Curruca undata,Dartford Warbler,0.5046
54.0,57.0,Curruca undata,Dartford Warbler,0.7135
